Sample Name,Protocol REF,Parameter Value: DNA Fragmentation,Parameter Value: DNA Fragment Size,Extract Name,Protocol REF,Parameter Value: Library Strategy,Parameter Value: Library Selection,Parameter Value: Library Layout,Protocol REF,Parameter Value: Sequencing Instrument,Assay Name,Parameter Value: Read Length,Raw Data File,Protocol REF,Parameter Value: Read Depth,Parameter Value: MultiQC File Names
GSM2684058,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684058,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684058_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684058_R2_raw.fastq.gz",GeneLab raw data processing protocol,121705532 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684059,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684059,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684059_R2_raw.fastq.gz, GLDS-524_wgbs_GSM2684059_R1_raw.fastq.gz",GeneLab raw data processing protocol,125506087 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684060,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684060,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684060_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684060_R2_raw.fastq.gz",GeneLab raw data processing protocol,124250067 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684061,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684061,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684061_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684061_R2_raw.fastq.gz",GeneLab raw data processing protocol,127659454 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684062,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684062,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684062_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684062_R2_raw.fastq.gz",GeneLab raw data processing protocol,126360478 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684063,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684063,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684063_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684063_R2_raw.fastq.gz",GeneLab raw data processing protocol,138417466 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684064,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684064,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684064_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684064_R2_raw.fastq.gz",GeneLab raw data processing protocol,252983 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684065,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684065,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684065_R2_raw.fastq.gz, GLDS-524_wgbs_GSM2684065_R1_raw.fastq.gz",GeneLab raw data processing protocol,219059 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684066,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684066,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684066_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684066_R2_raw.fastq.gz",GeneLab raw data processing protocol,212458 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684067,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684067,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684067_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684067_R2_raw.fastq.gz",GeneLab raw data processing protocol,168361 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
