Source Name,Sample Name,Characteristics: Organism,Characteristics: Strain,Characteristics: Genotype,Characteristics: Material Type,Factor Value: Ionizing Radiation,Factor Value: Generation,Protocol REF,Protocol REF,Parameter Value: ionizing radiation energy,Parameter Value: exposure duration,Parameter Value: absorbed radiation dose,Parameter Value: absorbed radiation dose rate,Parameter Value: ionizing radiation categorized by source,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Parameter Value: Age at time of sample collection,Comment: Animal Source,Comment: Parental Treatment
WGBS_control_1,GSM2684058,Danio rerio,AB Zebrafish,Wild Type,whole embryos,non-irradiated,F1,Animal husbandry,irradiation protocol,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,control
WGBS_control_2,GSM2684059,Danio rerio,AB Zebrafish,Wild Type,whole embryos,non-irradiated,F1,Animal husbandry,irradiation protocol,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,control
WGBS_control_3,GSM2684060,Danio rerio,AB Zebrafish,Wild Type,whole embryos,non-irradiated,F1,Animal husbandry,irradiation protocol,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,control
WGBS_exposed_1,GSM2684061,Danio rerio,AB Zebrafish,Wild Type,whole embryos,Cobalt-60 gamma radiation,F1,Animal husbandry,irradiation protocol,1.173:1.332 Megaelectronvolt,27 day,5.2 gray,8.7 milligray per hour,gamma irradiator,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,exposed
WGBS_exposed_2,GSM2684062,Danio rerio,AB Zebrafish,Wild Type,whole embryos,Cobalt-60 gamma radiation,F1,Animal husbandry,irradiation protocol,1.173:1.332 Megaelectronvolt,27 day,5.2 gray,8.7 milligray per hour,gamma irradiator,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,exposed
WGBS_exposed_3,GSM2684063,Danio rerio,AB Zebrafish,Wild Type,whole embryos,Cobalt-60 gamma radiation,F1,Animal husbandry,irradiation protocol,1.173:1.332 Megaelectronvolt,27 day,5.2 gray,8.7 milligray per hour,gamma irradiator,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,exposed
BisPCR2_F1_control_1,GSM2684064,Danio rerio,AB Zebrafish,Wild Type,whole embryos,non-irradiated,F1,Animal husbandry,irradiation protocol,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,control
BisPCR2_F1_control_2,GSM2684065,Danio rerio,AB Zebrafish,Wild Type,whole embryos,non-irradiated,F1,Animal husbandry,irradiation protocol,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,control
BisPCR2_F1_control_3,GSM2684066,Danio rerio,AB Zebrafish,Wild Type,whole embryos,non-irradiated,F1,Animal husbandry,irradiation protocol,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,control
BisPCR2_F1_control_4,GSM2684067,Danio rerio,AB Zebrafish,Wild Type,whole embryos,non-irradiated,F1,Animal husbandry,irradiation protocol,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,sample collection,Liquid Nitrogen,-80 degree Celsius,5.5 hours post-fertilization,Norwegian University of Life Sciences zebrafish facility,control
